year elong kind
0.61939 45.88569 1
1.00691 46.95342 -1
2.22193 46.11488 1
2.60839 45.78026 -1
3.82068 47.01299 1
4.20800 46.60516 -1
5.41574 45.39558 1
5.80294 46.38815 -1
7.01923 47.18855 1
7.40785 45.89675 -1
8.61274 45.85087 1
9.00030 46.94817 -1
